MiBig	Biosin_class	Gen	Adenilation	Condencetion
BGC0001427	['NRP', 'Polyketide']	APZ78795.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Proline']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Glutamine']}]	NaN
BGC0000372	['NRP']	EAL92291.2	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Tryptophan']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Alanine']}]	NaN
BGC0001099	['NRP', 'Polyketide']	ADD82940.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glycine']}]	NaN
BGC0001133	['NRP']	XBJ1_0775	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Tyrosine', 'Phenylalanine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}]	NaN
BGC0001133	['NRP']	XBJ1_0774	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Serine']}]	NaN
BGC0001426	['NRP', 'Polyketide']	APZ78781.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}]	NaN
BGC0001426	['NRP', 'Polyketide']	APZ78782.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Proline']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Glutamine']}]	NaN
BGC0000958	['NRP', 'Polyketide']	ZP_09179982.1	NaN	['Starter']
BGC0000958	['NRP', 'Polyketide']	ZP_09179983.1	NaN	NaN
BGC0000958	['NRP', 'Polyketide']	ZP_09179979.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['Pyruvate']}]	NaN
BGC0000333	['NRP']	sare4562	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['2-Amino-3,5-dimethyl-4-hexenoic Acid']}, {'epimerized': False, 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Phenylalanine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Tryptophan']}]	NaN
BGC0001467	['NRP', 'Polyketide']	WP_026723805.1	NaN	['Starter']
BGC0001467	['NRP', 'Polyketide']	WP_081656241.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['2-Hydroxyisovalerate']}]	NaN
BGC0001467	['NRP', 'Polyketide']	WP_051206727.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Phenylalanine']}]	NaN
BGC0001037	['NRP', 'Polyketide']	EAL85113.2	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Phenylalanine']}]	NaN
BGC0001430	['NRP', 'Polyketide']	APZ78833.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}]	NaN
BGC0001430	['NRP', 'Polyketide']	APZ78834.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Glutamine']}]	['LCL']
BGC0000431	['NRP']	EFE73308.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Cysteic acid']}]	NaN
BGC0000431	['NRP']	EFE73312.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['2,3-Diaminopropionic acid']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}]	['LCL']
BGC0000431	['NRP']	EFE73313.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Lysine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glycine']}]	NaN
BGC0000962	['NRP', 'Polyketide']	AAN32974.1	NaN	NaN
BGC0000962	['NRP', 'Polyketide']	AAN32977.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Leucine']}]	NaN
BGC0000962	['NRP', 'Polyketide']	AAN32978.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['(4S)-5,5,5-trichloroleucine']}]	NaN
BGC0000962	['NRP', 'Polyketide']	AAN32979.1	NaN	NaN
BGC0000962	['NRP', 'Polyketide']	AAN32980.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Phenylalanine']}, {'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Cysteine']}]	NaN
BGC0000427	['NRP']	ABA23460.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Serine']}]	NaN
BGC0000954	['NRP', 'Polyketide']	CAQ18831.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}]	NaN
BGC0000954	['NRP', 'Polyketide']	CAQ18839.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['N-Methyl-Glycine']}]	NaN
BGC0001095	['NRP']	YP001421440	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glutamate']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Ornithine']}]	NaN
BGC0001095	['NRP']	YP001421439	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Tyrosine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Threonine']}]	NaN
BGC0001095	['NRP']	YP001421438	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glutamate']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}]	NaN
BGC0001095	['NRP']	YP001421437	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Proline']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glutamate']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Tyrosine']}]	NaN
BGC0001095	['NRP']	YP001421436	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Isoleucine']}]	NaN
BGC0000391	['NRP']	AFO85453.1	[{'epimerized': False, 'proteinogenic': ['Isoleucine']}]	NaN
BGC0001168	['NRP']	509516289	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Arginine']}]	NaN
BGC0001187	['NRP', 'Polyketide']	AKL78825.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glycine']}]	NaN
BGC0000446	['NRP']	CDG76957.1	[{'epimerized': False, 'evidence': ['Feeding study'], 'nonproteinogenic': ['2,3-Dihydroxybenzoic acid']}]	NaN
BGC0000446	['NRP']	CDG76959.1	[{'epimerized': False, 'evidence': ['Feeding study'], 'proteinogenic': ['Proline']}]	NaN
BGC0001017	['NRP', 'Polyketide']	AAF00957.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Phenylacetate']}]	NaN
BGC0001017	['NRP', 'Polyketide']	AAF00958.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glutamate']}]	['LCL']
BGC0001017	['NRP', 'Polyketide']	AAF00960.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Serine']}, {'epimerized': True, 'evidence': ['Activity assay'], 'proteinogenic': ['Alanine']}]	NaN
BGC0001017	['NRP', 'Polyketide']	AAF00961.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['D-N2-methylasparagine']}]	NaN
BGC0001017	['NRP', 'Polyketide']	AAF00962.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Arginine']}]	NaN
BGC0001152	['NRP', 'Polyketide']	ACA34358.1	NaN	NaN
BGC0001152	['NRP', 'Polyketide']	ABQ96384.2	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Valine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Tyrosine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Allo-threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Asparigine']}, {'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['D-alanine']}]	NaN
BGC0001105	['NRP', 'Polyketide']	AAV97877.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Glycine']}]	NaN
BGC0001105	['NRP', 'Polyketide']	n.a.	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Arginine']}]	NaN
BGC0000978	['NRP', 'Polyketide', 'Alkaloid']	ABX60161.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['guanidinoacetate ']}]	NaN
BGC0001056	['NRP', 'Polyketide']	CCM44336.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Aspartate']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Histidine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Asparagine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Asparagine']}]	NaN
BGC0001056	['NRP', 'Polyketide']	CCM44337.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}]	NaN
BGC0000352	['NRP']	ACIAD2773	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}]	['Heterocyclization']
BGC0000186	['NRP', 'Polyketide']	ABC35522.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['D-alanine']}]	NaN
BGC0001328	['NRP', 'Polyketide']	EWM63002.1	[{'epimerized': False, 'evidence': ['Feeding study'], 'proteinogenic': ['Serine']}]	NaN
BGC0001328	['NRP', 'Polyketide']	EWM63005.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glycine']}]	NaN
BGC0001328	['NRP', 'Polyketide']	EWM63006.1	NaN	['LCL']
BGC0001328	['NRP', 'Polyketide']	EWM63007.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Beta-hydroxyasparagine']}]	['LCL']
BGC0001328	['NRP', 'Polyketide']	EWM63010.1	NaN	['DCL']
BGC0000305	['NRP']	BAC67534.2	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Aspartate']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}]	NaN
BGC0000305	['NRP']	BAC67535.1	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}]	NaN
BGC0000305	['NRP']	BAC67536.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Isoleucine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Isoleucine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Aspartate']}]	NaN
BGC0000420	['NRP']	CAP96445.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Tryptophan']}, {'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Histidine']}]	['DCL']
BGC0000973	['NRP', 'Polyketide']	CCC55921.1	[{'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Cysteine']}]	NaN
BGC0000973	['NRP', 'Polyketide']	CCC55922.1	[{'epimerized': False, 'proteinogenic': ['Leucine']}]	NaN
BGC0001231	['NRP', 'Polyketide']	mscA	NaN	NaN
BGC0001231	['NRP', 'Polyketide']	mscF	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Asparagine']}]	NaN
